노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,91.9,36.38753944,128.3669565,322647.4817,421915.0785
303,청주상주선,92,36.38794035,128.3679547,322736.4135,421960.838
303,청주상주선,92.1,36.38825894,128.3687453,322806.8513,421997.1988
303,청주상주선,92.2,36.38874214,128.369951,322914.277,422052.3569
303,청주상주선,92.3,36.38914303,128.3709492,323003.2089,422098.1165
303,청주상주선,92.4,36.3895439,128.3719474,323092.1407,422143.8761
303,청주상주선,92.5,36.38994477,128.3729456,323181.0726,422189.6357
303,청주상주선,92.6,36.39026304,128.3737355,323251.448,422225.9644
303,청주상주선,92.7,36.39074648,128.374942,323358.9365,422281.155
303,청주상주선,92.8,36.39114732,128.3759403,323447.8684,422326.9147
303,청주상주선,92.9,36.39154816,128.3769385,323536.8004,422372.6745
303,청주상주선,93,36.39194898,128.3779367,323625.7324,422418.4343
303,청주상주선,93.1,36.39226696,128.378726,323696.0445,422454.7324
303,청주상주선,93.2,36.39275061,128.3799333,323803.5965,422509.954
303,청주상주선,93.3,36.39315141,128.3809316,323892.5286,422555.7139
